Date,Truth,Prediction
2014-09-30,0.0017677054263888468,0.0017681969009154777
2014-10-01,0.0019414538932120073,0.0019410176579998043
2014-10-02,0.001918790485895557,0.0019184757660375884
2014-10-03,0.0014050995545315584,0.0014048343038663394
2014-10-06,0.0014126525827693889,0.001412095170196284
2014-10-07,0.0014881958329565704,0.0014881264145338675
2014-10-08,0.0012389041159462282,0.0012392921340003563
2014-10-09,0.0011104810228883151,0.0011103648907068648
2014-10-10,0.0011406988993102492,0.0011414060582630539
2014-10-13,0.00117091533486453,0.0011708331886646581
2014-10-14,0.0009896123989358858,0.0009894902017571195
2014-10-15,0.0010349377727011336,0.0010347919555506384
2014-10-16,0.0010349377727011336,0.001035276679330127
2014-10-17,0.0008385273394291756,0.0008382648110225085
2014-10-20,0.0007403206819255435,0.0007403172675703798
2014-10-21,0.0009442870251706381,0.0014959851031027527
2014-10-22,0.000634560996184081,0.0006341808841839059
2014-10-23,2.2661966448797295e-05,2.253003203728592e-05
2014-10-24,6.79887810816982e-05,6.802450769728819e-05
2014-10-27,0.0,1.4767441864920448e-06
2014-10-28,0.0001510850595067102,0.0005697112793693331
2014-10-29,0.0005514632768914159,0.0005400954900472685
2014-10-30,0.00037016034096277176,0.0003701928425402331
2014-10-31,0.0005816811533133498,0.0005814806315468109
2014-11-03,0.0010273847444633032,0.000874311572498399
2014-11-04,0.000959395963381605,0.0008585494468373911
2014-11-05,0.0011104810228883151,0.0011095904792202006
2014-11-06,0.0011633608657590465,0.0011635289850186912
2014-11-07,0.0011406988993102492,0.0011409296323396365
2014-11-10,0.0014504249282968062,0.001450481202358038
2014-11-11,0.001382436147215108,0.0013823689151518863
2014-11-12,0.0016543912715419008,0.0016544015963900498
2014-11-13,0.002311614234174779,0.002312054198234888
2014-11-14,0.0023191687032802625,0.002319353789598447
2014-11-17,0.00250802610831439,0.0025072638366061203
2014-11-18,0.0024475917963381754,0.0024481339807407047
2014-11-19,0.0026591126086887534,0.002658666781084568
2014-11-20,0.002145420236457102,0.0021456562641503293
2014-11-21,0.002243625453093081,0.002244144186892206
2014-11-24,0.002100093421824201,0.0021001354723677043
2014-11-25,0.0021076478909296844,0.0021078013565557236
2014-11-26,0.0019943337360827386,0.001994210096574035
2014-11-28,0.002092540393586371,0.0020922291636279395
2014-12-01,0.002100093421824201,0.0021008235644242768
2014-12-02,0.002394711953467444,0.0021279786223223256
2014-12-03,0.0022209634866442837,0.002221983085148858
2014-12-04,0.002711992451559485,0.0027113481239598113
2014-12-05,0.002696883513348518,0.002697103754409952
2014-12-08,0.0027271013897704516,0.0027270299666666185
2014-12-09,0.0026591126086887534,0.0026593969822036488
2014-12-10,0.0030670438543112894,0.0030672112823827645
2014-12-11,0.0029839461350186242,0.0029836365986063455
2014-12-12,0.0027422088871137656,0.0027421955486709644
2014-12-15,0.0028555230419607114,0.0028559077755324637
2014-12-16,0.003157696042709438,0.0031576849888620352
2014-12-17,0.0030443804469948393,0.00305787608085212
2014-12-18,0.003104816199838707,0.0031044015985164947
2014-12-19,0.002825306606406431,0.0028255233319260187
2014-12-22,0.002825306606406431,0.0028259773249070487
2014-12-23,0.0026137857940558527,0.002613461483386912
2014-12-24,0.002311614234174779,0.002311885725395044
2014-12-26,0.0022134090175388002,0.002212294758055689
2014-12-29,0.0019792247978717716,0.0019796808573291635
2014-12-30,0.0021227568291406515,0.002489229517888268
2014-12-31,0.0026137857940558527,0.002612151235841965
2015-01-02,0.0025911238276070552,0.0025917732526546363
2015-01-05,0.0026213402631613363,0.0026233621849759852
2015-01-06,0.0030292729496515253,0.003028056041789223
2015-01-07,0.0028479700137228814,0.00284715654961495
2015-01-08,0.002749763356219249,0.002750677425658131
2015-01-09,0.002719546920664968,0.0027194010745293234
2015-01-12,0.0026364492013723033,0.002636393341007606
2015-01-13,0.0026213402631613363,0.0026214634932850006
2015-01-14,0.0024173739199162417,0.0024175761686316063
2015-01-15,0.0024173739199162417,0.0024170759137905904
2015-01-16,0.002183191141116866,0.0021834141646317894
2015-01-20,0.0018130308001540944,0.0018128689944554091
2015-01-21,0.001835694207470545,0.0020088233394066992
2015-01-22,0.0022662888604095314,0.0022662637361266554
2015-01-23,0.002311614234174779,0.0022550636798419036
2015-01-26,0.002198300079327833,0.0021980968224533776
2015-01-27,0.0019036829885522432,0.0019039129589393804
2015-01-28,0.0022285165148821138,0.002228297044617628
2015-01-29,0.0019943337360827386,0.0019941261514913777
2015-01-30,0.002394711953467444,0.0023953129291559724
2015-02-02,0.0022511799221985643,0.0022512581484651745
2015-02-03,0.002576014889396088,0.0027944547344754722
2015-02-04,0.002825306606406431,0.002825522368091782
2015-02-05,0.0027875357017466663,0.0027874695408997095
2015-02-06,0.0025457970129741546,0.0025451687675979804
2015-02-09,0.0022209634866442837,0.002220627697793668
2015-02-10,0.001805476331048611,0.0018060468745792772
2015-02-11,0.00204721357895347,0.002046776635488438
2015-02-12,0.001805476331048611,0.001805986575647788
2015-02-13,0.0021378657673516185,0.0021375671160568264
2015-02-17,0.002356939607940027,0.002356967572249763
2015-02-18,0.002455146265443659,0.0028501125237385913
2015-02-19,0.0026742201060320674,0.0026741116483835533
2015-02-20,0.0025306895156308406,0.0025306394116872953
2015-02-23,0.0026213402631613363,0.0026214627406738046
2015-02-24,0.003074598323416773,0.0039210467825806245
2015-02-25,0.0038300279435532834,0.0038295746155879605
2015-02-26,0.004018885348587411,0.004018848616105934
2015-02-27,0.004033994286798378,0.004033966512559997
2015-03-02,0.004094428598774593,0.004094203224288619
