Date,Truth,Prediction
2014-09-30,0.0017677054263888468,0.0023701512909041315
2014-10-01,0.0019414538932120073,0.0019447268850282147
2014-10-02,0.001918790485895557,0.0007415650769270928
2014-10-03,0.0014050995545315584,0.0005283934504477332
2014-10-06,0.0014126525827693889,0.0019050312087385106
2014-10-07,0.0014881958329565704,0.0014390029022038793
2014-10-08,0.0012389041159462282,-0.00047140233459441565
2014-10-09,0.0011104810228883151,0.0005907683289575576
2014-10-10,0.0011406988993102492,0.0023330169108410903
2014-10-13,0.00117091533486453,0.0007622546809968843
2014-10-14,0.0009896123989358858,0.0010680810770651236
2014-10-15,0.0010349377727011336,0.0014781771730648617
2014-10-16,0.0010349377727011336,0.0007681494216722623
2014-10-17,0.0008385273394291756,0.0013695506639627222
2014-10-20,0.0007403206819255435,0.0001739654761651957
2014-10-21,0.0009442870251706381,0.0003289051465933286
2014-10-22,0.000634560996184081,0.0005057469892441151
2014-10-23,2.2661966448797295e-05,-0.0011881764519983407
2014-10-24,6.79887810816982e-05,-0.0007989027856388029
2014-10-27,0.0,-0.0009833395767527928
2014-10-28,0.0001510850595067102,-0.0018300514403706246
2014-10-29,0.0005514632768914159,-0.0035445471030058073
2014-10-30,0.00037016034096277176,-0.0014889927854937965
2014-10-31,0.0005816811533133498,-0.00012658521599964376
2014-11-03,0.0010273847444633032,0.0019689997240153155
2014-11-04,0.000959395963381605,0.0015449752200343801
2014-11-05,0.0011104810228883151,0.0012205511408256327
2014-11-06,0.0011633608657590465,-0.0001213837641106004
2014-11-07,0.0011406988993102492,0.001816398701504733
2014-11-10,0.0014504249282968062,0.001051246630569866
2014-11-11,0.001382436147215108,0.0006872360148080341
2014-11-12,0.0016543912715419008,0.001613060503824336
2014-11-13,0.002311614234174779,0.0017017458029239783
2014-11-14,0.0023191687032802625,0.002927354509778674
2014-11-17,0.00250802610831439,0.0024385918300136485
2014-11-18,0.0024475917963381754,0.002104094211849341
2014-11-19,0.0026591126086887534,0.0017158449098355066
2014-11-20,0.002145420236457102,0.0009694801775381075
2014-11-21,0.002243625453093081,0.0020740291313978247
2014-11-24,0.002100093421824201,0.0010480425780864562
2014-11-25,0.0021076478909296844,0.0023015086851058755
2014-11-26,0.0019943337360827386,0.001928080407877012
2014-11-28,0.002092540393586371,0.002514178779493729
2014-12-01,0.002100093421824201,0.002703555219714847
2014-12-02,0.002394711953467444,0.0024188454474884866
2014-12-03,0.0022209634866442837,0.0007947895229584966
2014-12-04,0.002711992451559485,0.002652786568916307
2014-12-05,0.002696883513348518,0.0022946083942652976
2014-12-08,0.0027271013897704516,0.0022265983379439573
2014-12-09,0.0026591126086887534,0.001937119348217102
2014-12-10,0.0030670438543112894,0.002949123342004128
2014-12-11,0.0029839461350186242,0.0025473376697662496
2014-12-12,0.0027422088871137656,0.0015894329099204949
2014-12-15,0.0028555230419607114,0.0013541147778196004
2014-12-16,0.003157696042709438,0.0021076793295388904
2014-12-17,0.0030443804469948393,0.0028185385575002775
2014-12-18,0.003104816199838707,0.004418270271163021
2014-12-19,0.002825306606406431,0.0019122406005580087
2014-12-22,0.002825306606406431,0.002195395105080388
2014-12-23,0.0026137857940558527,0.0024869349966222046
2014-12-24,0.002311614234174779,0.004601849990983346
2014-12-26,0.0022134090175388002,0.003490478517312604
2014-12-29,0.0019792247978717716,0.005348263314388604
2014-12-30,0.0021227568291406515,0.003434063046976639
2014-12-31,0.0026137857940558527,0.004936587983537143
2015-01-02,0.0025911238276070552,0.0032594340259106958
2015-01-05,0.0026213402631613363,0.001972661262285281
2015-01-06,0.0030292729496515253,0.0020574330422890967
2015-01-07,0.0028479700137228814,0.0011244701667981263
2015-01-08,0.002749763356219249,0.0025857718100914355
2015-01-09,0.002719546920664968,0.002694199803080447
2015-01-12,0.0026364492013723033,0.0010708868014847987
2015-01-13,0.0026213402631613363,0.0016084016125947516
2015-01-14,0.0024173739199162417,0.002620698249801174
2015-01-15,0.0024173739199162417,0.0027805778813592523
2015-01-16,0.002183191141116866,0.0013806690506455443
2015-01-20,0.0018130308001540944,0.00032672149760776606
2015-01-21,0.001835694207470545,0.0024373551942986522
2015-01-22,0.0022662888604095314,0.0020457623714497004
2015-01-23,0.002311614234174779,0.002632576206448526
2015-01-26,0.002198300079327833,0.002215777912660196
2015-01-27,0.0019036829885522432,0.002365606183209669
2015-01-28,0.0022285165148821138,0.0014772978521180452
2015-01-29,0.0019943337360827386,0.0006280033365567705
2015-01-30,0.002394711953467444,0.0020539481643879996
2015-02-02,0.0022511799221985643,0.0007712738994915744
2015-02-03,0.002576014889396088,0.0010546680453559706
2015-02-04,0.002825306606406431,0.002724665660769395
2015-02-05,0.0027875357017466663,0.002102951486659895
2015-02-06,0.0025457970129741546,0.00145009834118923
2015-02-09,0.0022209634866442837,0.0024228564532132006
2015-02-10,0.001805476331048611,0.0018403306073547822
2015-02-11,0.00204721357895347,0.00279774699458344
2015-02-12,0.001805476331048611,0.0015835623196214822
2015-02-13,0.0021378657673516185,0.0019384088892302198
2015-02-17,0.002356939607940027,0.00088802951164179
2015-02-18,0.002455146265443659,0.0026570632279135226
2015-02-19,0.0026742201060320674,0.0029516252885711004
2015-02-20,0.0025306895156308406,0.003852140211802895
2015-02-23,0.0026213402631613363,0.002538755498286867
2015-02-24,0.003074598323416773,0.0029490857908255723
2015-02-25,0.0038300279435532834,0.003335467282951275
2015-02-26,0.004018885348587411,0.0029296066297443794
2015-02-27,0.004033994286798378,0.006806243737440595
2015-03-02,0.004094428598774593,0.004512515642030729
