Datetime,Tweet Id,Text,Username
2017-06-21 23:57:09+00:00,877676795935338496,I'm in the running to win a #GTX1080Ti thanks to @GFeSports! #NVIDIA https://t.co/Ebvw5afSCz,gpin1120
2017-06-21 23:51:52+00:00,877675465665908736,https://t.co/zvUCk0PM2y Nvidia is getting a huge boost from a red-hot cryptocurrency - Business Insider #ethereum #ether,DisruptBanksy
2017-06-21 23:51:01+00:00,877675252062408705,"nvidia looks crazy overbought and in my opinion, there must be a correction before it goes any higher.  This price action is unsustainable",delbar27
2017-06-21 23:50:07+00:00,877675027197550592,Bank of America reiterated NVIDIA $NVDA at Buy. This 10yr DCF supports rating change https://t.co/kJlyMRdliQ https://t.co/c3Yi1OCn7I,FinboxIO
2017-06-21 23:48:50+00:00,877674704026390532,I liked a @YouTube video https://t.co/sqZd8kDQss Announcing NVIDIA DGX Systems,Choose_Infinity
2017-06-21 23:48:14+00:00,877674551768952836,@s_mart23 @Alienware @nvidia Yes very soon,AzorFrank
2017-06-21 23:45:05+00:00,877673760605839360,"I liked a @YouTube video https://t.co/4wYHJn6JGd HOW TO SETUP YOUR NVIDIA SHIELD TV 2017 VOLUME 2-FREE MOVIES, FREE TV SHOWS, LIVE TV,",frank_trades_
2017-06-21 23:42:12+00:00,877673034710007808,"@emalamisura @JenMsft ..better question, why do you need 6+ GPUs? Even Nvidia don't recommend SLI these days.",WizardCM
2017-06-21 23:41:20+00:00,877672816027553792,#big-easy-savings Gaming NZXT Tower PC Intel Quad Core i5-7600 4.1GHz NVIDIA GTX 1050 Ti 16GB DDR4... https://t.co/RqdGDgg5xs,BigEasySaving
2017-06-21 23:41:17+00:00,877672803595689984,#big-easy-savings Gaming NZXT Tower PC Intel Quad Core i5-7600 4.1GHz NVIDIA GTX 1050 Ti WiFi 1TB... https://t.co/RiSCFMS4vo,BigEasySaving
2017-06-21 23:41:14+00:00,877672791100727296,#big-easy-savings Gaming NZXT Tower PC Intel Quad Core i5-7600 4.1GHz NVIDIA GTX 1050 Ti 16GB DDR4 https://t.co/WiwZkGiwu4 #bigeasysavings https://t.co/tWSbJgdsyr,BigEasySaving
2017-06-21 23:41:10+00:00,877672775695060992,#big-easy-savings Gaming NZXT Tower PC Intel Quad Core i5-7600 4.1GHz NVIDIA GTX 1050 Ti WiFi 1TB https://t.co/Y08DLCFM3W #bigeasysavings https://t.co/3zwbXC1OGn,BigEasySaving
2017-06-21 23:35:41+00:00,877671394544189440,@NVIDIADC @nvidia @DellEMC Your rotating and mirroring don't fool me either!,ZeDestructor
2017-06-21 23:34:53+00:00,877671194027110400,"@NVIDIADC @nvidia @DellEMC You may want to pick a better picture than a rack of HP G5s though.. not only are they over 10 years old, they're also the wrong brand...",ZeDestructor
2017-06-21 23:34:03+00:00,877670983192195073,"Intel faces stiffer competition from 'resurgent' Nvidia, AMD, BofA says https://t.co/bvBuhpty48 https://t.co/D18Ottt61b",thinkdisruptive
2017-06-21 23:33:18+00:00,877670794469548033,this HP EliteBook 8770w Workstation Laptop intel core i7 2.60Ghz 12GB 500GB nVidia https://t.co/6MDILdDOuE #lapto… https://t.co/c0V2GYDvPG,besttoyouthx
2017-06-21 23:31:51+00:00,877670429573468160,"Even back when the PS4 launched, it felt like an outdated PC. The NVIDIA 700 Series was already out and the 760 could outperform the PS4. https://t.co/tUdQFR3wqK",AllieRX
2017-06-21 23:31:04+00:00,877670230872535041,Nvidia is getting a huge boost from a red-hot cryptocurrency https://t.co/cigsab5a1A https://t.co/1dCTvxIZmP,YahooFinance
2017-06-21 23:30:17+00:00,877670036537827328,"Are you a HARDCORE Nvidia fan? 
Then the MasterKeys Pro L NVIDIA Edition is for you! https://t.co/MYnLzja7g2 https://t.co/dtR4l4NM8a",CoolerMaster
2017-06-21 23:30:15+00:00,877670026353954818,#computer Nvidia Shield Tablet 4g / Lte 32gb Bundled Shield controller &amp; Shield cover kit https://t.co/WhyOqX85mc please retweet https://t.co/3rOoqE2uCt,followbacksen
2017-06-21 23:30:13+00:00,877670019215220736,#computer Nvidia Shield Tablet 4g / Lte 32gb Bundled Shield controller &amp; Shield cover kit https://t.co/BVqza13udJ please retweet https://t.co/iGseQTYRaM,johnsicurella
2017-06-21 23:29:26+00:00,877669823890702336,I'm in the running to win an Nvidia Shield Pro thanks to @techtimeruuu https://t.co/gdoQ6nyixG,Desertclam2012
2017-06-21 23:24:44+00:00,877668640534831105,I'm in the running to win a #GTX1080Ti thanks to @GFeSports! #NVIDIA https://t.co/zcKMkkNwrp,Origin_KRL
