DATE,level_1,0
1968-03-01,PCE,544.3
1968-04-01,PCE,544.0
1968-05-01,PCE,549.8
1968-06-01,PCE,556.3
1968-07-01,PCE,563.2
1968-08-01,PCE,567.0
1968-09-01,PCE,568.2
1968-10-01,PCE,571.6
1968-11-01,PCE,576.7
1968-12-01,PCE,576.5
1969-01-01,PCE,583.5
1969-02-01,PCE,588.7
1969-03-01,PCE,588.9
1969-04-01,PCE,593.9
1969-05-01,PCE,600.3
1969-06-01,PCE,600.9
1969-07-01,PCE,602.7
1969-08-01,PCE,609.9
1969-09-01,PCE,613.2
1969-10-01,PCE,618.5
1969-11-01,PCE,620.5
1969-12-01,PCE,622.8
1970-01-01,PCE,628.7
1970-02-01,PCE,634.0
1970-03-01,PCE,632.3
1970-04-01,PCE,636.0
1970-05-01,PCE,642.4
1970-06-01,PCE,646.3
1970-07-01,PCE,648.5
1970-08-01,PCE,652.9
1970-09-01,PCE,659.1
1970-10-01,PCE,658.3
1970-11-01,PCE,656.6
1970-12-01,PCE,665.6
1971-01-01,PCE,676.1
1971-02-01,PCE,679.4
1971-03-01,PCE,682.0
1971-04-01,PCE,688.8
1971-05-01,PCE,691.1
1971-06-01,PCE,699.8
1971-07-01,PCE,698.9
1971-08-01,PCE,704.9
1971-09-01,PCE,713.0
1971-10-01,PCE,715.8
1971-11-01,PCE,720.9
1971-12-01,PCE,728.4
1972-01-01,PCE,731.5
1972-02-01,PCE,736.2
1972-03-01,PCE,749.2
1972-04-01,PCE,752.5
1972-05-01,PCE,758.0
1972-06-01,PCE,761.6
1972-07-01,PCE,769.9
1972-08-01,PCE,776.3
1972-09-01,PCE,781.1
1972-10-01,PCE,794.9
1972-11-01,PCE,800.5
1972-12-01,PCE,806.1
1973-01-01,PCE,816.5
1973-02-01,PCE,825.8
1973-03-01,PCE,832.8
1973-04-01,PCE,835.7
1973-05-01,PCE,841.6
1973-06-01,PCE,844.3
1973-07-01,PCE,854.1
1973-08-01,PCE,853.3
1973-09-01,PCE,869.2
1973-10-01,PCE,868.2
1973-11-01,PCE,876.9
1973-12-01,PCE,876.6
1974-01-01,PCE,884.5
1974-02-01,PCE,889.7
1974-03-01,PCE,901.4
1974-04-01,PCE,910.8
1974-05-01,PCE,922.4
1974-06-01,PCE,928.0
1974-07-01,PCE,937.9
1974-08-01,PCE,954.8
1974-09-01,PCE,955.1
1974-10-01,PCE,959.2
1974-11-01,PCE,956.2
1974-12-01,PCE,961.8
1975-01-01,PCE,975.6
1975-02-01,PCE,989.4
1975-03-01,PCE,990.6
1975-04-01,PCE,995.0
1975-05-01,PCE,1018.9
1975-06-01,PCE,1026.8
1975-07-01,PCE,1039.8
1975-08-01,PCE,1047.0
1975-09-01,PCE,1054.8
1975-10-01,PCE,1060.9
1975-11-01,PCE,1075.8
1975-12-01,PCE,1092.1
1976-01-01,PCE,1107.1
1976-02-01,PCE,1107.7
1976-03-01,PCE,1114.9
1976-04-01,PCE,1125.4
1976-05-01,PCE,1122.7
1976-06-01,PCE,1140.5
1976-07-01,PCE,1149.6
1976-08-01,PCE,1158.0
1976-09-01,PCE,1168.8
1976-10-01,PCE,1176.8
1976-11-01,PCE,1189.0
1976-12-01,PCE,1211.5
1977-01-01,PCE,1215.0
1977-02-01,PCE,1231.3
1977-03-01,PCE,1238.3
1977-04-01,PCE,1247.3
1977-05-01,PCE,1257.1
1977-06-01,PCE,1263.6
1977-07-01,PCE,1280.5
1977-08-01,PCE,1285.7
1977-09-01,PCE,1294.5
1977-10-01,PCE,1311.4
1977-11-01,PCE,1327.0
1977-12-01,PCE,1336.0
1978-01-01,PCE,1329.5
1978-02-01,PCE,1355.1
1978-03-01,PCE,1377.5
1978-04-01,PCE,1396.4
1978-05-01,PCE,1412.0
1978-06-01,PCE,1425.8
1978-07-01,PCE,1426.8
1978-08-01,PCE,1447.0
1978-09-01,PCE,1452.9
